title,author,date,views,likes,link
A novel idea for cleaning up oil spills,Cesar Harada,12-Jun,910000,27000,https://ted.com/talks/cesar_harada_a_novel_idea_for_cleaning_up_oil_spills
How I'm preparing to get Alzheimer's,Alanna Shaikh,12-Jun,1700000,53000,https://ted.com/talks/alanna_shaikh_how_i_m_preparing_to_get_alzheimer_s
The levitating superconductor,Boaz Almog,12-Jun,2700000,82000,https://ted.com/talks/boaz_almog_the_levitating_superconductor
A tale of mental illness — from the inside,Elyn Saks,12-Jun,4600000,138000,https://ted.com/talks/elyn_saks_a_tale_of_mental_illness_from_the_inside
Four principles for the open world,Don Tapscott,12-Jun,1100000,34000,https://ted.com/talks/don_tapscott_four_principles_for_the_open_world
How Arduino is open-sourcing imagination,Massimo Banzi,12-Jun,2100000,63000,https://ted.com/talks/massimo_banzi_how_arduino_is_open_sourcing_imagination
How do pain relievers work?,George Zaidan,12-Jun,3400000,103000,https://ted.com/talks/george_zaidan_how_do_pain_relievers_work
How to speed up chemical reactions (and get a date),Aaron Sams,12-Jun,1700000,51000,https://ted.com/talks/aaron_sams_how_to_speed_up_chemical_reactions_and_get_a_date
How a penny made me feel like a millionaire,Tania Luna,12-Jul,1800000,55000,https://ted.com/talks/tania_luna_how_a_penny_made_me_feel_like_a_millionaire
Play with smart materials,Catarina Mota,12-Jul,1100000,35000,https://ted.com/talks/catarina_mota_play_with_smart_materials
Use data to build better schools,Andreas Schleicher,12-Jul,848000,25000,https://ted.com/talks/andreas_schleicher_use_data_to_build_better_schools
"Excuse me, may I rent your car?",Robin Chase,12-Jul,1000000,32000,https://ted.com/talks/robin_chase_excuse_me_may_i_rent_your_car
Before I die I want to ...,Candy Chang,12-Jul,5900000,177000,https://ted.com/talks/candy_chang_before_i_die_i_want_to
How big is infinity?,Dennis Wildfogel,12-Jul,2800000,85000,https://ted.com/talks/dennis_wildfogel_how_big_is_infinity
The survival of the sea turtle,Scott Gass,12-Jul,1800000,54000,https://ted.com/talks/scott_gass_the_survival_of_the_sea_turtle
Calculating the odds of intelligent alien life,Jill Tarter,12-Jul,1000000,31000,https://ted.com/talks/jill_tarter_calculating_the_odds_of_intelligent_alien_life
The dance of the dung beetle,Marcus Byrne,12-Aug,1100000,34000,https://ted.com/talks/marcus_byrne_the_dance_of_the_dung_beetle
Love others to love yourself,Keiichiro Hirano,12-Sep,156000,4600,https://ted.com/talks/keiichiro_hirano_love_others_to_love_yourself
The economic case for preschool,Timothy Bartik,12-Sep,459000,13000,https://ted.com/talks/timothy_bartik_the_economic_case_for_preschool
Israel and Iran: A love story?,Ronny Edry,12-Sep,2100000,64000,https://ted.com/talks/ronny_edry_israel_and_iran_a_love_story
Why global jihad is losing,Bobby Ghosh,12-Sep,741000,22000,https://ted.com/talks/bobby_ghosh_why_global_jihad_is_losing
How to solve traffic jams,Jonas Eliasson,12-Sep,1300000,41000,https://ted.com/talks/jonas_eliasson_how_to_solve_traffic_jams
Want to help someone? Shut up and listen!,Ernesto Sirolli,12-Sep,3600000,109000,https://ted.com/talks/ernesto_sirolli_want_to_help_someone_shut_up_and_listen
The future of lying,Jeff Hancock,12-Sep,1400000,43000,https://ted.com/talks/jeff_hancock_the_future_of_lying
The secret of the bat genome,Emma Teeling,12-Sep,563000,16000,https://ted.com/talks/emma_teeling_the_secret_of_the_bat_genome
Making sense of maps,Aris Venetikidis,12-Sep,744000,22000,https://ted.com/talks/aris_venetikidis_making_sense_of_maps
An animated tour of the invisible,John Lloyd,12-Sep,2200000,68000,https://ted.com/talks/john_lloyd_an_animated_tour_of_the_invisible
The art of the metaphor,Jane Hirshfield,12-Sep,1100000,34000,https://ted.com/talks/jane_hirshfield_the_art_of_the_metaphor
"How big is a mole? (Not the animal, the other one.)",Daniel Dulek,12-Sep,1900000,58000,https://ted.com/talks/daniel_dulek_how_big_is_a_mole_not_the_animal_the_other_one
How to recognize your white privilege — and use it to fight inequality,Peggy McIntosh,12-Oct,431000,12000,https://ted.com/talks/peggy_mcintosh_how_to_recognize_your_white_privilege_and_use_it_to_fight_inequality
La música de las ideas,Sergio Feferovich,12-Oct,337000,10000,https://ted.com/talks/sergio_feferovich_la_musica_de_las_ideas
Rethinking thinking,Trevor Maber,12-Oct,737000,22000,https://ted.com/talks/trevor_maber_rethinking_thinking
How to find work you love,Scott Dinsmore,12-Oct,7200000,218000,https://ted.com/talks/scott_dinsmore_how_to_find_work_you_love
How our stories cross over,Colin Grant,12-Oct,950000,28000,https://ted.com/talks/colin_grant_how_our_stories_cross_over
Love — you're doing it wrong,Yann Dall'Aglio,12-Oct,4500000,136000,https://ted.com/talks/yann_dall_aglio_love_you_re_doing_it_wrong
What makes us feel good about our work?,Dan Ariely,12-Oct,7100000,213000,https://ted.com/talks/dan_ariely_what_makes_us_feel_good_about_our_work
A girl who demanded school,Kakenya Ntaiya,12-Oct,2700000,82000,https://ted.com/talks/kakenya_ntaiya_a_girl_who_demanded_school
Who controls the world?,James B. Glattfelder,12-Oct,2800000,86000,https://ted.com/talks/james_b_glattfelder_who_controls_the_world
"A ""self-healing"" asphalt",Erik Schlangen,12-Oct,1000000,32000,https://ted.com/talks/erik_schlangen_a_self_healing_asphalt
Kids need structure,Colin Powell,12-Oct,1700000,51000,https://ted.com/talks/colin_powell_kids_need_structure
"Looks aren't everything. Believe me, I'm a model.",Cameron Russell,12-Oct,38000000,1100000,https://ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model
How a boy became an artist,Jarrett J. Krosoczka,12-Oct,1000000,32000,https://ted.com/talks/jarrett_j_krosoczka_how_a_boy_became_an_artist
"Pool medical patents, save lives",Ellen 't Hoen,12-Oct,441000,13000,https://ted.com/talks/ellen_t_hoen_pool_medical_patents_save_lives
A broken body isn't a broken person,Janine Shepherd,12-Oct,1700000,52000,https://ted.com/talks/janine_shepherd_a_broken_body_isn_t_a_broken_person
Why do competitors open their stores next to one another?,Jac de Haan,12-Oct,5800000,176000,https://ted.com/talks/jac_de_haan_why_do_competitors_open_their_stores_next_to_one_another
A glimpse of teenage life in ancient Rome,Ray Laurence,12-Oct,11000000,336000,https://ted.com/talks/ray_laurence_a_glimpse_of_teenage_life_in_ancient_rome
Gerrymandering: How drawing jagged lines can impact an election,Christina Greer,12-Oct,2000000,61000,https://ted.com/talks/christina_greer_gerrymandering_how_drawing_jagged_lines_can_impact_an_election
Diagnosing a zombie: Brain and body (Part one),Bradley Voytek and Tim Verstynen,12-Oct,706000,21000,https://ted.com/talks/bradley_voytek_and_tim_verstynen_diagnosing_a_zombie_brain_and_body_part_one
The city of walls: Constantinople,Lars Brownworth,12-Oct,1000000,32000,https://ted.com/talks/lars_brownworth_the_city_of_walls_constantinople
How does work... work?,Peter Bohacek,12-Nov,220000,6600,https://ted.com/talks/peter_bohacek_how_does_work_work
The nerd's guide to learning everything online,John Green,12-Nov,4900000,149000,https://ted.com/talks/john_green_the_nerd_s_guide_to_learning_everything_online
Violence against women — it's a men's issue,Jackson Katz,12-Nov,2600000,78000,https://ted.com/talks/jackson_katz_violence_against_women_it_s_a_men_s_issue
The technology of touch,Katherine Kuchenbecker,12-Nov,683000,20000,https://ted.com/talks/katherine_kuchenbecker_the_technology_of_touch
Hey science teachers — make it fun,Tyler DeWitt,12-Nov,1900000,59000,https://ted.com/talks/tyler_dewitt_hey_science_teachers_make_it_fun
Let's teach kids to code,Mitch Resnick,12-Nov,2600000,80000,https://ted.com/talks/mitch_resnick_let_s_teach_kids_to_code
A new kind of job market,Wingham Rowan,12-Nov,1100000,34000,https://ted.com/talks/wingham_rowan_a_new_kind_of_job_market
Why domestic violence victims don't leave,Leslie Morgan Steiner,12-Nov,7000000,211000,https://ted.com/talks/leslie_morgan_steiner_why_domestic_violence_victims_don_t_leave
A universal translator for surgeons,Steven Schwaitzberg,12-Nov,523000,15000,https://ted.com/talks/steven_schwaitzberg_a_universal_translator_for_surgeons
How movies teach manhood,Colin Stokes,12-Nov,6100000,183000,https://ted.com/talks/colin_stokes_how_movies_teach_manhood
A father-daughter dance ... in prison,Angela Patton,12-Nov,952000,28000,https://ted.com/talks/angela_patton_a_father_daughter_dance_in_prison
All it takes is 10 mindful minutes,Andy Puddicombe,12-Nov,13000000,393000,https://ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes
Re-engineering mosquitos to fight disease,Hadyn Parry,12-Nov,1000000,31000,https://ted.com/talks/hadyn_parry_re_engineering_mosquitos_to_fight_disease
Beware neuro-bunk,Molly Crockett,12-Nov,1300000,41000,https://ted.com/talks/molly_crockett_beware_neuro_bunk
Why bother leaving the house?,Ben Saunders,12-Nov,1900000,57000,https://ted.com/talks/ben_saunders_why_bother_leaving_the_house
How to separate fact and fiction online,Markham Nolan,12-Nov,1400000,44000,https://ted.com/talks/markham_nolan_how_to_separate_fact_and_fiction_online
How did English evolve?,Kate Gardoqui,12-Nov,1100000,34000,https://ted.com/talks/kate_gardoqui_how_did_english_evolve
The genius of Mendeleev's periodic table,Lou Serico,12-Nov,2200000,66000,https://ted.com/talks/lou_serico_the_genius_of_mendeleev_s_periodic_table
Three anti-social skills to improve your writing,Nadia Kalman,12-Nov,2700000,81000,https://ted.com/talks/nadia_kalman_three_anti_social_skills_to_improve_your_writing
Does stress cause pimples?,Claudia Aguirre,12-Nov,1100000,33000,https://ted.com/talks/claudia_aguirre_does_stress_cause_pimples
An antihero of one's own,Tim Adams,12-Nov,1200000,37000,https://ted.com/talks/tim_adams_an_antihero_of_one_s_own
A needle in countless haystacks: Finding habitable worlds,Ariel Anbar,12-Nov,400000,12000,https://ted.com/talks/ariel_anbar_a_needle_in_countless_haystacks_finding_habitable_worlds
Does your vote count? The Electoral College explained,Christina Greer,12-Nov,8600000,259000,https://ted.com/talks/christina_greer_does_your_vote_count_the_electoral_college_explained
We should all be feminists,Chimamanda Ngozi Adichie,12-Dec,4800000,146000,https://ted.com/talks/chimamanda_ngozi_adichie_we_should_all_be_feminists
Don't kill your language,Suzanne Talhouk,12-Dec,1500000,47000,https://ted.com/talks/suzanne_talhouk_don_t_kill_your_language
Three myths about corruption,Afra Raymond,12-Dec,980000,29000,https://ted.com/talks/afra_raymond_three_myths_about_corruption
Dare to educate Afghan girls,Shabana Basij-Rasikh,12-Dec,1200000,36000,https://ted.com/talks/shabana_basij_rasikh_dare_to_educate_afghan_girls
Why Libya's revolution didn't work — and what might,Zahra' Langhi,12-Dec,557000,16000,https://ted.com/talks/zahra_langhi_why_libya_s_revolution_didn_t_work_and_what_might
Fifty shades of gay,iO Tillett Wright,12-Dec,3100000,93000,https://ted.com/talks/io_tillett_wright_fifty_shades_of_gay
What I saw in the war,Janine di Giovanni,12-Dec,1100000,34000,https://ted.com/talks/janine_di_giovanni_what_i_saw_in_the_war
Deep sea diving ... in a wheelchair,Sue Austin,12-Dec,2400000,74000,https://ted.com/talks/sue_austin_deep_sea_diving_in_a_wheelchair
How common threats can make common (political) ground,Jonathan Haidt,12-Dec,690000,20000,https://ted.com/talks/jonathan_haidt_how_common_threats_can_make_common_political_ground
What we learned from teetering on the fiscal cliff,Adam Davidson,12-Dec,830000,24000,https://ted.com/talks/adam_davidson_what_we_learned_from_teetering_on_the_fiscal_cliff
What is color?,Colm Kelleher,12-Dec,826000,24000,https://ted.com/talks/colm_kelleher_what_is_color
"Why is there a ""b"" in doubt?",Gina Cooke,12-Dec,640000,19000,https://ted.com/talks/gina_cooke_why_is_there_a_b_in_doubt
Situational irony: The opposite of what you think,Christopher Warner,12-Dec,2100000,64000,https://ted.com/talks/christopher_warner_situational_irony_the_opposite_of_what_you_think
How do cancer cells behave differently from healthy ones?,George Zaidan and Charles Morton,12-Dec,1600000,50000,https://ted.com/talks/george_zaidan_and_charles_morton_how_do_cancer_cells_behave_differently_from_healthy_ones
What makes a hero?,Matthew Winkler,12-Dec,8100000,244000,https://ted.com/talks/matthew_winkler_what_makes_a_hero
How today's truths shape tomorrow's possibilities,Yannick Roudaut,13-Jan,391000,11000,https://ted.com/talks/yannick_roudaut_how_today_s_truths_shape_tomorrow_s_possibilities
"Parkinson's, depression and the switch that might turn them off",Andres Lozano,13-Jan,1500000,45000,https://ted.com/talks/andres_lozano_parkinson_s_depression_and_the_switch_that_might_turn_them_off
Toward a new understanding of mental illness,Thomas Insel,13-Jan,1500000,46000,https://ted.com/talks/thomas_insel_toward_a_new_understanding_of_mental_illness
"When you're making a deal, what's going on in your brain?",Colin Camerer,13-Jan,1500000,47000,https://ted.com/talks/colin_camerer_when_you_re_making_a_deal_what_s_going_on_in_your_brain
Your brain is more than a bag of chemicals,David Anderson,13-Jan,1500000,47000,https://ted.com/talks/david_anderson_your_brain_is_more_than_a_bag_of_chemicals
"Dance, tiny robots!",Bruno Maisonnier,13-Jan,1400000,43000,https://ted.com/talks/bruno_maisonnier_dance_tiny_robots
How a fly flies,Michael Dickinson,13-Jan,1800000,56000,https://ted.com/talks/michael_dickinson_how_a_fly_flies
I think we all need a pep talk,Kid President,13-Jan,1000000,31000,https://ted.com/talks/kid_president_i_think_we_all_need_a_pep_talk
In on a secret? That's dramatic irony,Christopher Warner,13-Jan,1300000,39000,https://ted.com/talks/christopher_warner_in_on_a_secret_that_s_dramatic_irony
Is light a particle or a wave?,Colm Kelleher,13-Jan,1200000,38000,https://ted.com/talks/colm_kelleher_is_light_a_particle_or_a_wave
How to defeat a dragon with math,Garth Sundem,13-Jan,3200000,98000,https://ted.com/talks/garth_sundem_how_to_defeat_a_dragon_with_math
How we see color,Colm Kelleher,13-Jan,1100000,33000,https://ted.com/talks/colm_kelleher_how_we_see_color
You are your microbes,Jessica Green and Karen Guillemin,13-Jan,1800000,56000,https://ted.com/talks/jessica_green_and_karen_guillemin_you_are_your_microbes
The neuroscience of restorative justice,Dan Reisel,13-Feb,975000,29000,https://ted.com/talks/dan_reisel_the_neuroscience_of_restorative_justice
A word game to communicate in any language,Ajit Narayanan,13-Feb,1400000,43000,https://ted.com/talks/ajit_narayanan_a_word_game_to_communicate_in_any_language
Are we designed to be sexual omnivores?,Christopher Ryan,13-Feb,2300000,69000,https://ted.com/talks/christopher_ryan_are_we_designed_to_be_sexual_omnivores
Paper beats plastic? How to rethink environmental folklore,Leyla Acaroglu,13-Feb,1400000,43000,https://ted.com/talks/leyla_acaroglu_paper_beats_plastic_how_to_rethink_environmental_folklore
My underwater robot,David Lang,13-Feb,1300000,40000,https://ted.com/talks/david_lang_my_underwater_robot
The art of bow-making,Dong Woo Jang,13-Feb,2500000,76000,https://ted.com/talks/dong_woo_jang_the_art_of_bow_making
Can technology solve our big problems?,Jason Pontin,13-Feb,1600000,49000,https://ted.com/talks/jason_pontin_can_technology_solve_our_big_problems
The pursuit of ignorance,Stuart Firestein,13-Feb,2600000,78000,https://ted.com/talks/stuart_firestein_the_pursuit_of_ignorance
Mapping ideas worth spreading,Eric Berlow and Sean Gourley,13-Feb,1100000,34000,https://ted.com/talks/eric_berlow_and_sean_gourley_mapping_ideas_worth_spreading
Everyday cybercrime — and what you can do about it,James Lyne,13-Feb,1700000,53000,https://ted.com/talks/james_lyne_everyday_cybercrime_and_what_you_can_do_about_it
Why I fell in love with monster prime numbers,Adam Spencer,13-Feb,2200000,68000,https://ted.com/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers
The voices in my head,Eleanor Longden,13-Feb,5400000,163000,https://ted.com/talks/eleanor_longden_the_voices_in_my_head
Ingenuity and elegance in ancient African alphabets,Saki Mafundikwa,13-Feb,803000,24000,https://ted.com/talks/saki_mafundikwa_ingenuity_and_elegance_in_ancient_african_alphabets
Design for all 5 senses,Jinsop Lee,13-Feb,1800000,54000,https://ted.com/talks/jinsop_lee_design_for_all_5_senses
For argument's sake,Daniel H. Cohen,13-Feb,1700000,53000,https://ted.com/talks/daniel_h_cohen_for_argument_s_sake
The polyphonic me,Beardyman,13-Feb,2700000,81000,https://ted.com/talks/beardyman_the_polyphonic_me
DJ decks made of ... paper,Kate Stone,13-Feb,738000,22000,https://ted.com/talks/kate_stone_dj_decks_made_of_paper
A promising test for pancreatic cancer ... from a teenager,Jack Andraka,13-Feb,5000000,150000,https://ted.com/talks/jack_andraka_a_promising_test_for_pancreatic_cancer_from_a_teenager
The interspecies internet? An idea in progress,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",13-Feb,782000,23000,https://ted.com/talks/diana_reiss_peter_gabriel_neil_gershenfeld_and_vint_cerf_the_interspecies_internet_an_idea_in_progress
Why we should build wooden skyscrapers,Michael Green,13-Feb,1400000,43000,https://ted.com/talks/michael_green_why_we_should_build_wooden_skyscrapers
Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,13-Feb,8900000,268000,https://ted.com/talks/sleepy_man_banjo_boys_bluegrass_virtuosity_from_new_jersey
Reach into the computer and grab a pixel,Jinha Lee,13-Feb,1800000,56000,https://ted.com/talks/jinha_lee_reach_into_the_computer_and_grab_a_pixel
The big-data revolution in health care,Joel Selanikio,13-Feb,766000,23000,https://ted.com/talks/joel_selanikio_the_big_data_revolution_in_health_care
Why we will rely on robots,Rodney Brooks,13-Feb,1400000,43000,https://ted.com/talks/rodney_brooks_why_we_will_rely_on_robots
Photos from a storm chaser,Camille Seaman,13-Feb,2100000,64000,https://ted.com/talks/camille_seaman_photos_from_a_storm_chaser
What will future jobs look like?,Andrew McAfee,13-Feb,5000000,151000,https://ted.com/talks/andrew_mcafee_what_will_future_jobs_look_like
How I made an impossible film,Martin Villeneuve,13-Feb,1000000,30000,https://ted.com/talks/martin_villeneuve_how_i_made_an_impossible_film
Could we speak the language of dolphins?,Denise Herzing,13-Feb,1600000,48000,https://ted.com/talks/denise_herzing_could_we_speak_the_language_of_dolphins
"How I named, shamed and jailed",Anas Aremeyaw Anas,13-Feb,1500000,45000,https://ted.com/talks/anas_aremeyaw_anas_how_i_named_shamed_and_jailed
How behavioral science can lower your energy bill,Alex Laskey,13-Feb,1200000,37000,https://ted.com/talks/alex_laskey_how_behavioral_science_can_lower_your_energy_bill
How books can open your mind,Lisa Bu,13-Feb,6000000,182000,https://ted.com/talks/lisa_bu_how_books_can_open_your_mind
"The violin, and my dark night of the soul",Ji-Hae Park,13-Feb,4700000,141000,https://ted.com/talks/ji_hae_park_the_violin_and_my_dark_night_of_the_soul
Architecture for the people by the people,Alastair Parvin,13-Feb,1600000,49000,https://ted.com/talks/alastair_parvin_architecture_for_the_people_by_the_people
Prepare for a good end of life,Judy MacDonald Johnston,13-Feb,1600000,49000,https://ted.com/talks/judy_macdonald_johnston_prepare_for_a_good_end_of_life
Embrace the shake,Phil Hansen,13-Feb,2800000,84000,https://ted.com/talks/phil_hansen_embrace_the_shake
Why Google Glass?,Sergey Brin,13-Feb,2100000,64000,https://ted.com/talks/sergey_brin_why_google_glass
The invisible man,Liu Bolin,13-Feb,1300000,41000,https://ted.com/talks/liu_bolin_the_invisible_man
Why 30 is not the new 20,Meg Jay,13-Feb,12000000,374000,https://ted.com/talks/meg_jay_why_30_is_not_the_new_20
Learn to read Chinese ... with ease!,ShaoLan,13-Feb,5800000,176000,https://ted.com/talks/shaolan_learn_to_read_chinese_with_ease
"Your online life, permanent as a tattoo",Juan Enriquez,13-Feb,1800000,56000,https://ted.com/talks/juan_enriquez_your_online_life_permanent_as_a_tattoo
The silent drama of photography,Sebastião Salgado,13-Feb,2000000,62000,https://ted.com/talks/sebastiao_salgado_the_silent_drama_of_photography
My radical plan for small nuclear fission reactors,Taylor Wilson,13-Feb,2500000,77000,https://ted.com/talks/taylor_wilson_my_radical_plan_for_small_nuclear_fission_reactors
Got a meeting? Take a walk,Nilofer Merchant,13-Feb,3600000,108000,https://ted.com/talks/nilofer_merchant_got_a_meeting_take_a_walk
10 top time-saving tech tips,David Pogue,13-Feb,5200000,156000,https://ted.com/talks/david_pogue_10_top_time_saving_tech_tips
How much does a video weigh?,Michael Stevens,13-Feb,822000,24000,https://ted.com/talks/michael_stevens_how_much_does_a_video_weigh
The key to growth? Race with the machines,Erik Brynjolfsson,13-Feb,1300000,41000,https://ted.com/talks/erik_brynjolfsson_the_key_to_growth_race_with_the_machines
"The death of innovation, the end of growth",Robert Gordon,13-Feb,1200000,37000,https://ted.com/talks/robert_gordon_the_death_of_innovation_the_end_of_growth
Txtng is killing language. JK!!!,John McWhorter,13-Feb,3200000,96000,https://ted.com/talks/john_mcwhorter_txtng_is_killing_language_jk
My journey to yo-yo mastery,BLACK,13-Feb,15000000,462000,https://ted.com/talks/black_my_journey_to_yo_yo_mastery
Let's talk crap. Seriously.,Rose George,13-Feb,1800000,54000,https://ted.com/talks/rose_george_let_s_talk_crap_seriously
A mini robot — powered by your phone,Keller Rinaudo,13-Feb,1100000,35000,https://ted.com/talks/keller_rinaudo_a_mini_robot_powered_by_your_phone
4 pillars of college success in science,Freeman Hrabowski,13-Feb,1100000,33000,https://ted.com/talks/freeman_hrabowski_4_pillars_of_college_success_in_science
"Watson, Jeopardy and me, the obsolete know-it-all",Ken Jennings,13-Feb,1400000,42000,https://ted.com/talks/ken_jennings_watson_jeopardy_and_me_the_obsolete_know_it_all
"The emergence of ""4D printing""",Skylar Tibbits,13-Feb,2900000,88000,https://ted.com/talks/skylar_tibbits_the_emergence_of_4d_printing
"We the People, and the Republic we must reclaim",Lawrence Lessig,13-Feb,1600000,49000,https://ted.com/talks/lawrence_lessig_we_the_people_and_the_republic_we_must_reclaim
"A skateboard, with a boost",Sanjay Dastoor,13-Feb,1900000,57000,https://ted.com/talks/sanjay_dastoor_a_skateboard_with_a_boost
How a dead duck changed my life,Kees Moeliker,13-Feb,1400000,43000,https://ted.com/talks/kees_moeliker_how_a_dead_duck_changed_my_life
My invention that made peace with lions,Richard Turere,13-Feb,2800000,86000,https://ted.com/talks/richard_turere_my_invention_that_made_peace_with_lions
One very dry demo,Mark Shaw,13-Feb,1600000,49000,https://ted.com/talks/mark_shaw_one_very_dry_demo
We're covered in germs. Let's design for that.,Jessica Green,13-Feb,1000000,32000,https://ted.com/talks/jessica_green_we_re_covered_in_germs_let_s_design_for_that
My escape from North Korea,Hyeonseo Lee,13-Feb,23000000,690000,https://ted.com/talks/hyeonseo_lee_my_escape_from_north_korea
"The mind behind Tesla, SpaceX, SolarCity ...",Elon Musk,13-Feb,7800000,236000,https://ted.com/talks/elon_musk_the_mind_behind_tesla_spacex_solarcity
The Internet could crash. We need a Plan B,Danny Hillis,13-Feb,1400000,42000,https://ted.com/talks/danny_hillis_the_internet_could_crash_we_need_a_plan_b
"The good news on poverty (Yes, there's good news)",Bono,13-Feb,1900000,59000,https://ted.com/talks/bono_the_good_news_on_poverty_yes_there_s_good_news
The dawn of de-extinction. Are you ready?,Stewart Brand,13-Feb,2100000,64000,https://ted.com/talks/stewart_brand_the_dawn_of_de_extinction_are_you_ready
To This Day ... for the bullied and beautiful,Shane Koyczan,13-Feb,7300000,221000,https://ted.com/talks/shane_koyczan_to_this_day_for_the_bullied_and_beautiful
A guerrilla gardener in South Central LA,Ron Finley,13-Feb,4099999,125000,https://ted.com/talks/ron_finley_a_guerrilla_gardener_in_south_central_la
How we found the giant squid,Edith Widder,13-Feb,5100000,154000,https://ted.com/talks/edith_widder_how_we_found_the_giant_squid
How to fight desertification and reverse climate change,Allan Savory,13-Feb,7900000,238000,https://ted.com/talks/allan_savory_how_to_fight_desertification_and_reverse_climate_change
The art of asking,Amanda Palmer,13-Feb,12000000,381000,https://ted.com/talks/amanda_palmer_the_art_of_asking
A clean energy proposal — race to the top!,Jennifer Granholm,13-Feb,798000,23000,https://ted.com/talks/jennifer_granholm_a_clean_energy_proposal_race_to_the_top
Build a School in the Cloud,Sugata Mitra,13-Feb,3700000,111000,https://ted.com/talks/sugata_mitra_build_a_school_in_the_cloud
Why are blue whales so enormous? ,Asha de Vos,13-Feb,52000,1500,https://ted.com/talks/asha_de_vos_why_are_blue_whales_so_enormous
Agile programming — for your family,Bruce Feiler,13-Feb,1700000,52000,https://ted.com/talks/bruce_feiler_agile_programming_for_your_family
The secret to desire in a long-term relationship,Esther Perel,13-Feb,19000000,577000,https://ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship
Inside OKCupid: The math of online dating,Christian Rudder,13-Feb,1200000,36000,https://ted.com/talks/christian_rudder_inside_okcupid_the_math_of_online_dating
Make robots smarter,Ayanna Howard,13-Feb,52000,1500,https://ted.com/talks/ayanna_howard_make_robots_smarter
The exhilarating peace of freediving,Guillaume Néry,13-Mar,1100000,34000,https://ted.com/talks/guillaume_nery_the_exhilarating_peace_of_freediving
Could future devices read images from our brains?,Mary Lou Jepsen,13-Mar,1000000,31000,https://ted.com/talks/mary_lou_jepsen_could_future_devices_read_images_from_our_brains
How societies can grow old better,Jared Diamond,13-Mar,1100000,35000,https://ted.com/talks/jared_diamond_how_societies_can_grow_old_better
Why our IQ levels are higher than our grandparents',James Flynn,13-Mar,4600000,138000,https://ted.com/talks/james_flynn_why_our_iq_levels_are_higher_than_our_grandparents
The dangers of willful blindness,Margaret Heffernan,13-Mar,1900000,57000,https://ted.com/talks/margaret_heffernan_the_dangers_of_willful_blindness
In the key of genius,Derek Paravicini and Adam Ockelford,13-Mar,1600000,48000,https://ted.com/talks/derek_paravicini_and_adam_ockelford_in_the_key_of_genius
"How we'll resurrect the gastric brooding frog, the Tasmanian tiger",Michael Archer,13-Mar,607000,18000,https://ted.com/talks/michael_archer_how_we_ll_resurrect_the_gastric_brooding_frog_the_tasmanian_tiger
Bring back the woolly mammoth!,Hendrik Poinar,13-Mar,1100000,34000,https://ted.com/talks/hendrik_poinar_bring_back_the_woolly_mammoth
The why and how of effective altruism,Peter Singer,13-Mar,2100000,64000,https://ted.com/talks/peter_singer_the_why_and_how_of_effective_altruism
In search of the man who broke my neck,Joshua Prager,13-Mar,1500000,47000,https://ted.com/talks/joshua_prager_in_search_of_the_man_who_broke_my_neck
Health care should be a team sport,Eric Dishman,13-Mar,1100000,35000,https://ted.com/talks/eric_dishman_health_care_should_be_a_team_sport
Let them be scientists,Wendy Hawkins,13-Mar,8200,248,https://ted.com/talks/wendy_hawkins_let_them_be_scientists
The listening bias,Tony Salvador,13-Mar,93000,2800,https://ted.com/talks/tony_salvador_the_listening_bias
Training teachers: 10 million and counting,Shelley Shott,13-Mar,8200,248,https://ted.com/talks/shelley_shott_training_teachers_10_million_and_counting
Designing materials one atom at a time,Sadasivan Shankar,13-Mar,5800,175,https://ted.com/talks/sadasivan_shankar_designing_materials_one_atom_at_a_time
Plucky rebels: Being agile in an un-agile place,Peter Biddle,13-Mar,48000,1400,https://ted.com/talks/peter_biddle_plucky_rebels_being_agile_in_an_un_agile_place
Sound and sentiment,Mira Calix,13-Mar,11000,354,https://ted.com/talks/mira_calix_sound_and_sentiment
Are you technically fit to parent?,Michael Fey,13-Mar,10000,318,https://ted.com/talks/michael_fey_are_you_technically_fit_to_parent
The new sharing of emotions,Margaret Morris,13-Mar,16000,500,https://ted.com/talks/margaret_morris_the_new_sharing_of_emotions
How to activate ideas,Manav Subodh,13-Mar,11000,335,https://ted.com/talks/manav_subodh_how_to_activate_ideas
The corporation as agent of cultural fusion,Makiko Eda,13-Mar,6200,188,https://ted.com/talks/makiko_eda_the_corporation_as_agent_of_cultural_fusion
Weaving a strong smart grid,Lorie Wigle,13-Mar,5200,157,https://ted.com/talks/lorie_wigle_weaving_a_strong_smart_grid
"Chips, conflict and the Congo",Gary Niekerk,13-Mar,6500,197,https://ted.com/talks/gary_niekerk_chips_conflict_and_the_congo
Strategies for fuel-efficient space travel,Erika Debenedictis,13-Mar,10000,307,https://ted.com/talks/erika_debenedictis_strategies_for_fuel_efficient_space_travel
Interactive experiences with perceptual computing,Achin Bhowmik,13-Mar,8100,244,https://ted.com/talks/achin_bhowmik_interactive_experiences_with_perceptual_computing
